Genotyic Richness,Invader Success
1,1.9341583741
1,1.8822103221
1,1.8562362962
1,1.7847655591
1,1.73283859
1,0.9731194131
1,0.7782931354
1,0.6224489796
1,0.1808694552
1,0.0121437005
1,-0.085364311
1,-0.2216436161
1,-0.5074000675
2,1.815377804
2,1.5751813122
2,1.28297352
2,1.2310465509
2,1.1400952943
2,0.5296635183
2,0.4972381515
2,0.3868063754
2,0.2439492326
2,0.2245108787
2,0.1661325687
2,-0.1520703323
2,-0.2236254006
2,-0.697609209
3,0.3980013493
3,0.0798195311
3,0.0278714792
3,-0.0176041491
3,-0.134487266
3,-0.2903525046
3,-0.387755102
3,-0.5111317254
3,-0.6994644965
3,-1.0046382189
4,-0.149392815
4,-0.2272938101
4,-0.2921656266
4,-0.5194383539
4,-0.7078132906
5,0.387755102
5,-0.099257885
5,-0.2940630798
5,-0.4109251138
5,-0.5213358071
6,0.2949696407
6,0.0352504638
6,-0.1400952943
6,-0.2050092764
6,-0.3932577163
6,-0.5426926969
7,0.3515348288
7,0.1892182493
7,0.085364311
7,0.0203659976
7,-0.0445901501
7,-0.1548954292
8,0.343270366
8,0.2003499747
8,-0.0659259572
8,-0.2412084669
