Seed,Task,Model,Popsize,Generations,Mutation_rate,Selection_strength,adaptation_rate,richness,variance
1,1,Equal,500,2000,0,0.1,0,1,0
1,2,Equal,1000,4000,0,0.1,0,1,0
1,3,Equal,2500,10000,0,0.1,0,1,0
1,4,Equal,5000,20000,0,0.1,0,1,0
1,5,Equal,7500,30000,0,0.1,0,1,0
1,6,Equal,10000,40000,0,0.1,0,1,0
1,7,Equal,25000,1e+05,0,0.1,0,1,0
1,8,Equal,50000,2e+05,0,0.1,0,1,0
1,9,Equal,75000,3e+05,0,0.1,0,1,0
1,10,Equal,1e+05,4e+05,0,0.1,0,1,0
1,11,Equal,500,2000,0,0.1,0,1,0
1,12,Equal,1000,4000,0,0.1,0,1,0
1,13,Equal,2500,10000,0,0.1,0,1,0
1,14,Equal,5000,20000,0,0.1,0,1,0
1,15,Equal,7500,30000,0,0.1,0,1,0
1,16,Equal,10000,40000,0,0.1,0,1,0
1,17,Equal,25000,1e+05,0,0.1,0,1,0
1,18,Equal,50000,2e+05,0,0.1,0,1,0
1,19,Equal,75000,3e+05,0,0.1,0,1,0
1,20,Equal,1e+05,4e+05,0,0.1,0,1,0
1,21,Equal,500,2000,0,0.1,0,1,0
1,22,Equal,1000,4000,0,0.1,0,1,0
1,23,Equal,2500,10000,0,0.1,0,1,0
1,24,Equal,5000,20000,0,0.1,0,1,0
1,25,Equal,7500,30000,0,0.1,0,1,0
1,26,Equal,10000,40000,0,0.1,0,1,0
1,27,Equal,25000,1e+05,0,0.1,0,1,0
1,28,Equal,50000,2e+05,0,0.1,0,1,0
1,29,Equal,75000,3e+05,0,0.1,0,1,0
1,30,Equal,1e+05,4e+05,0,0.1,0,1,0
1,31,Equal,500,2000,0,0.1,0,1,0
1,32,Equal,1000,4000,0,0.1,0,1,0
1,33,Equal,2500,10000,0,0.1,0,1,0
1,34,Equal,5000,20000,0,0.1,0,1,0
1,35,Equal,7500,30000,0,0.1,0,1,0
1,36,Equal,10000,40000,0,0.1,0,1,0
1,37,Equal,25000,1e+05,0,0.1,0,1,0
1,38,Equal,50000,2e+05,0,0.1,0,1,0
1,39,Equal,75000,3e+05,0,0.1,0,1,0
1,40,Equal,1e+05,4e+05,0,0.1,0,1,0
1,41,Equal,500,2000,0,0.1,0,1,0
1,42,Equal,1000,4000,0,0.1,0,1,0
1,43,Equal,2500,10000,0,0.1,0,1,0
1,44,Equal,5000,20000,0,0.1,0,1,0
1,45,Equal,7500,30000,0,0.1,0,1,0
1,46,Equal,10000,40000,0,0.1,0,1,0
1,47,Equal,25000,1e+05,0,0.1,0,1,0
1,48,Equal,50000,2e+05,0,0.1,0,1,0
1,49,Equal,75000,3e+05,0,0.1,0,1,0
1,50,Equal,1e+05,4e+05,0,0.1,0,1,0
1,51,Equal,500,2000,0,0.1,0,1,0
1,52,Equal,1000,4000,0,0.1,0,1,0
1,53,Equal,2500,10000,0,0.1,0,1,0
1,54,Equal,5000,20000,0,0.1,0,1,0
1,55,Equal,7500,30000,0,0.1,0,1,0
1,56,Equal,10000,40000,0,0.1,0,1,0
1,57,Equal,25000,1e+05,0,0.1,0,1,0
1,58,Equal,50000,2e+05,0,0.1,0,1,0
1,59,Equal,75000,3e+05,0,0.1,0,1,0
1,60,Equal,1e+05,4e+05,0,0.1,0,1,0
1,61,Equal,500,2000,0,0.1,0,1,0
1,62,Equal,1000,4000,0,0.1,0,1,0
1,63,Equal,2500,10000,0,0.1,0,1,0
1,64,Equal,5000,20000,0,0.1,0,1,0
1,65,Equal,7500,30000,0,0.1,0,1,0
1,66,Equal,10000,40000,0,0.1,0,1,0
1,67,Equal,25000,1e+05,0,0.1,0,1,0
1,68,Equal,50000,2e+05,0,0.1,0,1,0
