Category,Mean,Max,Min,Generation
168,0.3,6,0,4000
169,8.3,69,0,4000
170,9.1,85,0,4000
171,17.1,177,0,4000
172,52.15,281,0,4000
173,106.05,337,0,4000
174,249.5,760,17,4000
175,356.3,773,120,4000
176,589.5,1406,105,4000
177,921.75,1495,342,4000
178,1598.9,2752,818,4000
179,2397.65,3638,1199,4000
180,2154.9,3631,1428,4000
181,1166.35,2831,206,4000
182,350.75,1588,0,4000
183,21.4,209,0,4000
273,5.75,39,0,10000
274,5.45,60,0,10000
275,43.7,287,0,10000
276,89.7,284,0,10000
277,110.85,309,0,10000
278,312.7,762,36,10000
279,475.55,1288,32,10000
280,684.6,1253,105,10000
281,936.45,1722,195,10000
282,1366.55,2619,421,10000
283,1981.55,3473,322,10000
284,1643.95,2953,410,10000
285,1557.35,3562,3,10000
286,640.45,2077,0,10000
287,142.65,1306,0,10000
288,2.75,55,0,10000
350.5,1.95,39,0,15000
351.5,16.3,135,0,15000
352.5,17.9,137,0,15000
353.5,49.65,175,0,15000
354.5,94.3,202,0,15000
355.5,119.4,406,0,15000
356.5,228.05,671,0,15000
357.5,438.6,1482,12,15000
358.5,678.15,1516,0,15000
359.5,1037.25,1669,571,15000
360.5,1410.9,2224,636,15000
361.5,2042,3295,941,15000
362.5,1814.15,4029,801,15000
363.5,1360.3,2478,292,15000
364.5,653.7,2020,0,15000
365.5,32.6,259,0,15000
366.5,4.8,96,0,15000
422.5,1.9,38,0,20000
423.5,4.2,72,0,20000
424.5,23.1,331,0,20000
425.5,17.8,159,0,20000
426.5,60.6,257,0,20000
427.5,79.95,315,0,20000
428.5,89.35,305,0,20000
429.5,238.75,884,27,20000
430.5,394.6,1322,0,20000
431.5,717.6,1383,146,20000
432.5,952.8,1962,372,20000
433.5,1309,2069,320,20000
434.5,2016.95,3613,572,20000
435.5,1733.7,3449,248,20000
436.5,1513.4,3122,513,20000
437.5,709.75,1987,0,20000
438.5,130.95,696,0,20000
439.5,5.6,112,0,20000
