Mean,Max,Min,Generation,Model
100,100,100,0,Equal
100.5617,100.885,100.186,100,Equal
102.2426,103.707,100.831,200,Equal
104.584,107.424,102.303,300,Equal
106.83335,111.833,104.136,400,Equal
108.98145,113.224,105.725,500,Equal
111.08215,115.41,108.295,600,Equal
113.41165,118.876,109.891,700,Equal
115.49805,121.23,111.723,800,Equal
117.58765,122.589,114.016,900,Equal
119.77955,125.869,115.381,1000,Equal
121.78655,128.663,116.758,1100,Equal
123.73885,130.655,118.411,1200,Equal
125.72445,132.853,119.761,1300,Equal
127.97125,134.39,123.248,1400,Equal
130.06395,137.407,125.56,1500,Equal
131.83195,139.868,127.584,1600,Equal
133.54635,141.596,129.117,1700,Equal
135.4894,143.961,131.012,1800,Equal
137.3696,146.182,132.826,1900,Equal
139.57235,148.066,134.944,2000,Equal
141.78295,150.528,136.153,2100,Equal
143.8166,153.517,138.406,2200,Equal
145.663,155.45,139.478,2300,Equal
147.48865,157.181,141.483,2400,Equal
149.3722,159.807,143.39,2500,Equal
151.40605,162.497,144.946,2600,Equal
153.4864,164.296,146.865,2700,Equal
155.3458,166.037,148.312,2800,Equal
157.0573,167.502,149.853,2900,Equal
158.87615,169.271,151.834,3000,Equal
160.82245,171.364,154.037,3100,Equal
162.7908,172.909,155.824,3200,Equal
164.8167,175.359,157.602,3300,Equal
166.8092,177.751,159.032,3400,Equal
168.7085,179.573,160.181,3500,Equal
170.63265,181.833,162.111,3600,Equal
172.50295,184.042,164.221,3700,Equal
174.52485,185.999,167.515,3800,Equal
176.7408,187.702,169.75,3900,Equal
178.54355,189.028,171.038,4000,Equal
180.3722,190.15,173.106,4100,Equal
182.2926,191.351,175.742,4200,Equal
184.1732,192.574,178.452,4300,Equal
186.1528,194.373,180.378,4400,Equal
187.94475,196.963,182.453,4500,Equal
189.854,198.636,184.903,4600,Equal
191.6148,200.027,186.325,4700,Equal
193.3447,201.635,187.875,4800,Equal
195.04655,203.678,189.612,4900,Equal
196.8323,206.133,190.495,5000,Equal
198.5947,208.15,192.136,5100,Equal
200.3577,209.978,193.705,5200,Equal
202.1776,211.641,195.067,5300,Equal
203.9986,213.118,196.063,5400,Equal
205.82775,214.906,197.15,5500,Equal
207.8212,216.84,199.265,5600,Equal
209.8232,218.471,200.832,5700,Equal
211.792,219.883,202.842,5800,Equal
213.85095,221.19,204.515,5900,Equal
215.78635,223.169,206.131,6000,Equal
217.4553,225.104,207.942,6100,Equal
219.0505,227.161,209.517,6200,Equal
220.87995,229.998,211.566,6300,Equal
222.5664,232.363,214.182,6400,Equal
224.2456,234.402,216.517,6500,Equal
225.9615,235.931,217.898,6600,Equal
227.658,238.727,219.192,6700,Equal
229.25255,240.801,220.866,6800,Equal
230.9538,242.158,222.418,6900,Equal
232.59225,243.461,223.934,7000,Equal
234.2369,245.276,225.426,7100,Equal
235.95135,247.483,227.3,7200,Equal
237.67005,249.66,229.178,7300,Equal
239.37645,251.322,231.191,7400,Equal
241.04405,252.275,232.858,7500,Equal
242.609,253.374,233.668,7600,Equal
244.30755,254.463,234.954,7700,Equal
245.9769,255.721,236.242,7800,Equal
247.7902,257.599,237.601,7900,Equal
249.4665,259.375,238.624,8000,Equal
251.09695,260.802,239.365,8100,Equal
252.85735,262.256,240.144,8200,Equal
254.6419,264.025,241.444,8300,Equal
256.345,266.226,243.639,8400,Equal
258.20195,267.847,246.907,8500,Equal
259.8594,269.217,249.048,8600,Equal
261.4186,270.97,250.401,8700,Equal
262.9966,272.57,251.544,8800,Equal
264.8234,273.991,252.749,8900,Equal
266.65095,275.818,253.947,9000,Equal
268.2861,277.834,254.69,9100,Equal
270.08335,279.634,255.885,9200,Equal
271.76675,281.589,257.069,9300,Equal
273.51725,283.788,259.425,9400,Equal
275.1106,285.535,261.104,9500,Equal
276.64335,287.336,262.472,9600,Equal
278.28205,289.181,263.643,9700,Equal
279.87855,291.878,265.083,9800,Equal
281.4428,294.337,266.676,9900,Equal
283.2256,296.6,267.89,10000,Equal
284.97905,298.037,269.777,10100,Equal
286.6458,299.14,271.444,10200,Equal
288.3053,300.373,273.705,10300,Equal
289.90995,301.645,275.979,10400,Equal
291.51555,303.026,278.015,10500,Equal
293.1177,303.966,280.278,10600,Equal
294.6625,305.242,282.088,10700,Equal
296.19315,306.557,283.369,10800,Equal
297.76785,308.413,284.858,10900,Equal
299.3233,309.871,286.242,11000,Equal
300.96715,311.752,287.307,11100,Equal
302.4511,313.575,288.182,11200,Equal
304.06545,315.27,289.063,11300,Equal
305.66155,317.178,290.224,11400,Equal
307.29135,318.99,291.481,11500,Equal
308.8012,320.521,293.028,11600,Equal
310.3437,321.979,294.421,11700,Equal
311.9929,323.487,295.713,11800,Equal
313.6822,325.371,297.889,11900,Equal
315.34515,326.836,300.007,12000,Equal
316.91605,327.774,301.738,12100,Equal
318.47625,328.644,303.4,12200,Equal
320.02705,330.225,305.474,12300,Equal
321.67275,331.708,306.842,12400,Equal
323.3163,333.889,308.272,12500,Equal
324.84985,335.64,309.582,12600,Equal
326.40585,337.352,311.259,12700,Equal
328.1623,339.772,312.635,12800,Equal
329.80555,342.685,314.66,12900,Equal
331.3068,344.665,316.401,13000,Equal
332.9007,346.5,317.918,13100,Equal
334.47025,347.992,319.57,13200,Equal
335.96265,349.775,321.318,13300,Equal
337.49585,351.168,322.854,13400,Equal
338.8319,353.026,323.917,13500,Equal
340.1977,354.483,324.759,13600,Equal
341.79175,356.039,325.748,13700,Equal
343.31235,357.327,326.757,13800,Equal
344.7796,359.26,327.648,13900,Equal
346.2833,361.327,328.408,14000,Equal
347.84035,363.25,329.314,14100,Equal
349.54045,364.69,330.757,14200,Equal
351.00905,366.154,332.036,14300,Equal
352.40755,368.279,333.654,14400,Equal
353.8921,370.278,335.375,14500,Equal
355.38685,371.87,336.88,14600,Equal
357.05465,373.565,338.591,14700,Equal
358.64875,375.002,340.19,14800,Equal
360.24445,376.68,341.635,14900,Equal
361.71165,378.289,342.639,15000,Equal
363.0719,379.504,343.662,15100,Equal
364.58345,381.155,344.6,15200,Equal
365.97345,382.474,345.687,15300,Equal
367.4612,383.996,346.863,15400,Equal
368.99285,386.019,348.598,15500,Equal
370.6018,388.486,349.905,15600,Equal
372.3355,391.356,351.159,15700,Equal
373.9376,393.94,352.282,15800,Equal
375.45385,395.687,353.03,15900,Equal
377.03365,397.297,354.408,16000,Equal
378.49545,398.64,355.863,16100,Equal
379.84605,399.971,357.215,16200,Equal
381.3139,401.215,358.155,16300,Equal
382.85895,402.387,359.198,16400,Equal
384.50935,403.75,361.26,16500,Equal
386.07085,405.087,363.429,16600,Equal
387.6241,406.265,365.22,16700,Equal
389.198,407.857,367.397,16800,Equal
390.72195,409.877,368.45,16900,Equal
392.24305,411.547,369.089,17000,Equal
393.6316,413.569,369.878,17100,Equal
394.9701,415.026,370.548,17200,Equal
