Mean,Max,Min,Generation,Model
0,0,0,0,Equal
0.7599537,1.32245,0.151478,100,Equal
2.84581945,4.78659,0.897439,200,Equal
3.748574,9.2535,1.68587,300,Equal
3.3140005,5.31454,1.95908,400,Equal
3.211827,5.28758,2.43125,500,Equal
3.47966,6.43288,2.68485,600,Equal
3.6857495,6.2892,1.95198,700,Equal
3.395919,4.86084,1.62544,800,Equal
3.496716,6.32023,1.19683,900,Equal
3.6352915,7.51896,1.77963,1000,Equal
3.3168815,4.85463,1.87619,1100,Equal
3.1175825,4.76783,1.83762,1200,Equal
3.60813,5.73219,1.81258,1300,Equal
4.1325605,7.0277,2.81872,1400,Equal
3.5382745,5.43171,2.00839,1500,Equal
2.934774,4.78888,1.47406,1600,Equal
3.0130765,6.18131,1.5994,1700,Equal
3.3695235,6.29147,2.29253,1800,Equal
3.541564,6.15485,2.08098,1900,Equal
4.013611,6.33866,2.20295,2000,Equal
3.9928775,8.41685,2.43381,2100,Equal
3.5778035,6.21451,2.04695,2200,Equal
3.5533875,8.28433,1.52847,2300,Equal
3.383626,5.54378,1.82631,2400,Equal
3.494332,6.37303,1.86415,2500,Equal
3.895281,6.51474,1.71102,2600,Equal
3.789056,5.75246,1.68551,2700,Equal
3.72225,6.43626,2.14137,2800,Equal
3.395467,4.8634,1.76663,2900,Equal
3.3884665,4.78794,2.04887,3000,Equal
4.031342,6.05432,2.43524,3100,Equal
3.7900765,5.9758,2.43263,3200,Equal
4.018909,7.06614,2.20546,3300,Equal
3.798109,6.04585,2.24167,3400,Equal
3.981022,5.29492,2.0218,3500,Equal
4.235105,6.74856,2.81998,3600,Equal
3.993926,6.9936,2.61228,3700,Equal
4.0537235,6.71417,2.84209,3800,Equal
4.6067685,7.93932,2.665,3900,Equal
3.950099,5.42861,1.89117,4000,Equal
4.0219585,8.41542,2.64302,4100,Equal
3.8693205,5.63819,2.2294,4200,Equal
4.1188465,5.94532,1.93698,4300,Equal
4.251433,5.27739,2.17668,4400,Equal
3.970662,6.05386,1.6213,4500,Equal
4.0967365,7.21778,1.41194,4600,Equal
3.9579825,5.83957,2.11599,4700,Equal
3.768975,5.92838,1.805,4800,Equal
3.765084,5.67578,2.43676,4900,Equal
4.0892305,5.95586,2.43198,5000,Equal
4.054447,6.31507,2.25693,5100,Equal
4.070711,5.68366,2.7622,5200,Equal
4.1104065,5.40711,2.46509,5300,Equal
3.925524,6.07369,2.47983,5400,Equal
4.2594285,6.89339,2.64929,5500,Equal
4.5256605,7.82119,2.23254,5600,Equal
4.8424285,8.47528,2.58036,5700,Equal
4.9498565,9.20979,2.53237,5800,Equal
4.4596335,9.05854,2.84955,5900,Equal
4.689886,8.99034,2.5808,6000,Equal
4.0737645,6.25917,2.29498,6100,Equal
4.1486325,6.31476,2.65705,6200,Equal
4.199106,6.72086,2.28954,6300,Equal
4.0136545,6.94634,2.15344,6400,Equal
4.0254815,6.42785,1.55037,6500,Equal
4.065539,6.67129,1.42005,6600,Equal
4.370808,8.38801,2.23215,6700,Equal
4.16248,6.69642,2.47469,6800,Equal
4.081507,5.87348,2.51357,6900,Equal
4.171072,6.40919,2.06132,7000,Equal
4.2302445,7.31845,1.54584,7100,Equal
4.1403975,6.56151,1.64065,7200,Equal
4.2801265,6.0571,2.69518,7300,Equal
4.3612925,6.76466,2.7903,7400,Equal
4.171564,6.26068,2.09461,7500,Equal
4.093828,7.05661,2.60972,7600,Equal
4.2832075,6.71398,3.17943,7700,Equal
4.791801,7.76904,3.21379,7800,Equal
4.6677725,8.0396,2.1536,7900,Equal
4.452276,6.65731,1.75104,8000,Equal
4.319159,7.56907,1.8838,8100,Equal
4.5642315,8.32467,2.09841,8200,Equal
4.749868,6.97469,2.19655,8300,Equal
4.5110285,6.7957,2.56115,8400,Equal
4.7555275,10.5664,2.53385,8500,Equal
4.945267,10.7394,3.21333,8600,Equal
4.4471025,7.45757,3.04484,8700,Equal
4.52382,7.91661,2.80923,8800,Equal
4.741736,8.2481,2.31637,8900,Equal
4.6335495,6.70368,3.00396,9000,Equal
4.559385,7.96421,2.4171,9100,Equal
4.757119,8.38797,2.28987,9200,Equal
4.8536315,8.07347,3.05407,9300,Equal
4.7385785,6.79315,3.0212,9400,Equal
4.7828705,7.75216,2.89268,9500,Equal
4.28769,7.29978,2.48084,9600,Equal
4.3362,6.19495,2.54365,9700,Equal
4.4405005,7.06267,2.77215,9800,Equal
4.8250675,7.41368,3.54013,9900,Equal
5.214624,9.30295,2.77136,10000,Equal
5.0586075,7.81935,2.93639,10100,Equal
4.9413755,8.09378,2.86209,10200,Equal
4.4294635,7.14735,2.98618,10300,Equal
